Station,Area,Elevation,Basin.Relief,Slope.30,Basin.Slope,MCS,Forest.Area,Annual.Precipitation,Flow
12305500,55.3,4686.9,4134.8,69.4,37.1,140.1,91.9,48.3,29.6
12311000,133.1,3257,5376.7,27,21.2,19.6,72.6,30.4,56.4
12316800,12.5,4084.4,3178.5,33.2,25.4,265.6,94.5,29.1,6.3
12320500,29.9,5347.3,5803.1,81.4,46.4,206.9,89.5,41.3,11.1
12321000,71.1,5054.2,5866.9,62.3,37,151,70.4,46.1,38.2
12392155,115.1,4648.5,4844.3,71.8,43.2,128.3,82.4,54.3,126
12392300,121.4,4280.6,5441.4,52.4,32.2,126.9,62.6,38.1,111
12393500,596.6,3941.3,5124.1,46.3,28.9,13.1,79,38.8,438
12396000,68.2,3622.5,3731.6,51.8,30.1,96.6,79.6,36.7,25.8
12408500,82.5,3520.8,3832.5,46.2,29.6,105,89.4,37.7,14.7
12409000,1011,2904.3,5308.7,29.2,22.3,11.1,76.9,27.6,164
12427000,84.4,2459,2230.6,10.4,13.2,30.4,65.2,28.2,48.7
12431000,634.9,2397.7,4281.5,9.4,12.2,25.9,54.6,25.1,222
