id,name,gps,views,share_date
https://www.mountainproject.com/area/105708964/new-mexico,New Mexico Climbing,"34.561, -105.952","6,320,780 total · 25,618/month",NA
https://www.mountainproject.com/area/106299665/albuquerque-area,Albuquerque Area Climbing,"35.106, -106.63","1,078,415 total · 7,141/month",2008-11-11 00:00:00
https://www.mountainproject.com/area/106029437/big-block,Big Block Climbing,"35.031, -106.362","53,055 total · 322/month",2007-09-20 00:00:00
https://www.mountainproject.com/area/108358529/big-block,Big Block Rock Climbing,"35.031, -106.362","5,603 total · 61/month",2013-09-28 00:00:00
https://www.mountainproject.com/area/106040612/block-wall,Block Wall Rock Climbing,"35.031, -106.362","13,169 total · 80/month",2007-10-09 00:00:00
https://www.mountainproject.com/area/106040587/bouldering-cave,Bouldering Cave Climbing,"35.031, -106.362","16,385 total · 100/month",2007-10-09 00:00:00
https://www.mountainproject.com/area/111338647/boot-hill,Boot Hill Rock Climbing,"35.243, -106.411","9,703 total · 148/month",2015-11-22 00:00:00
https://www.mountainproject.com/area/113929222/carnuel-crag,Carnuel Crag Rock Climbing,"35.065, -106.469","21,548 total · 534/month",2017-12-13 00:00:00
https://www.mountainproject.com/area/106359124/foothills-bouldering,Foothills Bouldering Climbing,"35.098, -106.48","259,139 total · 1,753/month",2009-02-16 00:00:00
https://www.mountainproject.com/area/107490752/casa-bonita,Casa Bonita Bouldering,"35.098, -106.48","5,231 total · 47/month",2012-02-27 00:00:00
https://www.mountainproject.com/area/107490763/the-ozzy-boulder,The Ozzy Boulder Climbing,"35.098, -106.48","3,920 total · 35/month",2012-02-27 00:00:00
https://www.mountainproject.com/area/106374457/fat-city-indian-school,"Fat City, Indian School Bouldering","35.099, -106.48","36,116 total · 246/month",2009-03-11 00:00:00
https://www.mountainproject.com/area/117406879/atp-crack,ATP crack Bouldering,"35.098, -106.477","1,005 total · 48/month",2019-07-25 00:00:00
https://www.mountainproject.com/area/118044463/black-ball-boulder,Black Ball Boulder Climbing,"35.103, -106.483","1,089 total · 64/month",2019-11-14 00:00:00
https://www.mountainproject.com/area/107908744/boulder-a,Boulder A Bouldering,"35.098, -106.477","3,517 total · 35/month",2012-11-27 00:00:00
https://www.mountainproject.com/area/107908964/boulder-b,Boulder B Bouldering,"35.098, -106.476","3,202 total · 31/month",2012-11-27 00:00:00
https://www.mountainproject.com/area/106374468/boulder-c,Boulder C Bouldering,"35.097, -106.477","2,178 total · 15/month",2009-03-11 00:00:00
https://www.mountainproject.com/area/106374480/boulder-d-crystal-face,"Boulder D, Crystal Face Bouldering","35.097, -106.477","2,002 total · 14/month",2009-03-11 00:00:00
https://www.mountainproject.com/area/117897261/cactus-chimney-boulders,Cactus Chimney Boulders Climbing,"35.109, -106.489","1,202 total · 67/month",2019-10-15 00:00:00
https://www.mountainproject.com/area/106374577/center-wall,Center Wall Bouldering,"35.098, -106.477","1,478 total · 10/month",2009-03-11 00:00:00
https://www.mountainproject.com/area/117997338/picnic-slab,Picnic Slab Bouldering,"35.105, -106.486",630 total · 36/month,2019-11-05 00:00:00
https://www.mountainproject.com/area/111830129/south-trail-side-boulders,South Trail Side Boulders Climbing,"35.099, -106.48","4,875 total · 81/month",2016-05-04 00:00:00
https://www.mountainproject.com/area/111830306/the-gorilla,The Gorilla Bouldering,"35.098, -106.48","2,608 total · 43/month",2016-05-04 00:00:00
https://www.mountainproject.com/area/111830145/the-turtle,The Turtle Bouldering,"35.099, -106.48","1,283 total · 21/month",2016-05-04 00:00:00
https://www.mountainproject.com/area/106568005/upper-fat-city-drainage-aka-embudo-canyon,Upper Fat City Drainage (a.k.a. Embudo Canyon) Bouldering,"35.096, -106.462","9,188 total · 66/month",2009-10-12 00:00:00
https://www.mountainproject.com/area/111500948/gaza-strip,Gaza Strip Bouldering,"35.046, -106.482","7,280 total · 114/month",2016-01-05 00:00:00
