id,name,difficulty,type,views,share_date
https://www.mountainproject.com/route/110243365/big-block-1,Big Block 1,5.9- YDS,"Sport, 30 ft (9 m)","1,268 total · 17/month",2015-03-26
https://www.mountainproject.com/route/110243374/big-block-2,Big Block 2,5.9- YDS,Sport,806 total · 11/month,2015-03-26
https://www.mountainproject.com/route/106040615/left-route,Left Route,5.9+ YDS,Sport,"2,639 total · 16/month",2007-10-09
https://www.mountainproject.com/route/106040620/shane,Shane,5.9+ YDS,Sport,"3,933 total · 24/month",2007-10-09
https://www.mountainproject.com/route/106040627/beth,Beth,5.11b YDS,Sport,"2,454 total · 15/month",2007-10-09
https://www.mountainproject.com/route/119738073/minnesota,Minnesota,5.11d YDS,"TR, 35 ft (11 m)",236 total · 39/month,2020-10-13
https://www.mountainproject.com/route/106328737/la-bandit,L.A. Bandit,5.11c YDS,"Sport, 30 ft (9 m)","1,493 total · 10/month",2008-12-29
https://www.mountainproject.com/route/106040630/seth,Seth,5.11b/c YDS,Sport,"1,506 total · 9/month",2007-10-09
https://www.mountainproject.com/route/119653513/shaolin-minefield,Shaolin Minefield,5.10d YDS,"Sport, 35 ft (11 m)",332 total · 51/month,2020-09-30
https://www.mountainproject.com/route/119804257/warmup-v1,Warmup V1,V1 YDS,Boulder,139 total · 24/month,2020-10-25
https://www.mountainproject.com/route/118876943/the-v2,“The V2”,V2 YDS,"Boulder, 12 ft (4 m)",288 total · 26/month,2020-05-15
https://www.mountainproject.com/route/118876983/the-v3,“The V3”,V2 YDS,"Boulder, 12 ft (4 m)",310 total · 28/month,2020-05-15
https://www.mountainproject.com/route/118826608/crimpy-v5,Crimpy V5,V5 YDS,"Boulder, 12 ft (4 m)",292 total · 25/month,2020-05-03
https://www.mountainproject.com/route/106337365/football-problem,Football Problem,V4 YDS,"Boulder, 15 ft (5 m)","2,217 total · 15/month",2009-01-12
https://www.mountainproject.com/route/118826645/aussie-rules-football,Aussie Rules Football,V5 YDS,"Boulder, 15 ft (5 m)",423 total · 37/month,2020-05-03
https://www.mountainproject.com/route/106752967/murray-pinch,Murray Pinch,V10-11 YDS,"Boulder, 15 ft (5 m)","1,871 total · 14/month",2010-05-04
https://www.mountainproject.com/route/119238757/murray-pinch-traverse,Murray Pinch Traverse,V10-11 YDS,"Boulder, Grade VI",161 total · 18/month,2020-07-19
https://www.mountainproject.com/route/106337350/reachy-sidepulls,Reachy Sidepulls?,V8-9 YDS,"Boulder, 15 ft (5 m)","1,649 total · 11/month",2009-01-12
https://www.mountainproject.com/route/106337372/pegboard,Pegboard,V6 YDS,"Boulder, 15 ft (5 m)","1,767 total · 12/month",2009-01-12
https://www.mountainproject.com/route/118874043/double-bump,Double Bump,V10 YDS,"Boulder, 12 ft (4 m)",265 total · 24/month,2020-05-14
https://www.mountainproject.com/route/119604205/unknown,Unknown,5.12a YDS,"Sport, 30 ft (9 m)",162 total · 24/month,2020-09-21
https://www.mountainproject.com/route/107060378/the-baseball-problem,The Baseball Problem,V8 YDS,Boulder,"1,348 total · 11/month",2011-03-08
https://www.mountainproject.com/route/118842543/the-schtick,The Schtick,V9-10 YDS,"Boulder, 15 ft (5 m)",767 total · 67/month,2020-05-07
https://www.mountainproject.com/route/118873443/janky-glue-problem,Janky glue problem,V6 YDS,"Boulder, 12 ft (4 m)",232 total · 21/month,2020-05-14
https://www.mountainproject.com/route/106337393/low-low-start-aka-desperation,Low Low Start (aka Desperation),V6 YDS,"Boulder, 12 ft (4 m)",549 total · 4/month,2009-01-12
https://www.mountainproject.com/route/106040652/blockade,Blockade,5.10a YDS,"Sport, TR, 30 ft (9 m)","2,507 total · 15/month",2007-10-09
https://www.mountainproject.com/route/119653483/unknown,Unknown,5.12a YDS,"Sport, 30 ft (9 m)",164 total · 25/month,2020-09-30
https://www.mountainproject.com/route/107171048/the-jew-claw,The Jew Claw,V9+ YDS,"Boulder, 15 ft (5 m)",821 total · 7/month,2011-06-12
https://www.mountainproject.com/route/106337387/v8,V8,V8- YDS,"Boulder, 12 ft (4 m)",600 total · 4/month,2009-01-12
https://www.mountainproject.com/route/111912746/for-a-few-bolts-more,For a Few Bolts More,5.8+ YDS,"Sport, 55 ft (17 m)",745 total · 13/month,2016-06-07
https://www.mountainproject.com/route/111746330/unleash-the-kraken,Unleash the Kraken,5.8 YDS,"Sport, 55 ft (17 m)",887 total · 14/month,2016-04-03
https://www.mountainproject.com/route/111926032/little-big-man,Little Big Man,5.9 YDS,"Sport, 40 ft (12 m)",763 total · 13/month,2016-06-13
https://www.mountainproject.com/route/113571249/a-fistfull-of-bolts,A Fistfull of Bolts,5.10 YDS,"Sport, 65 ft (20 m)",688 total · 16/month,2017-09-10
https://www.mountainproject.com/route/111338651/preachers-daughter,Preacher's Daughter,5.10b YDS,"Sport, 65 ft (20 m)",926 total · 14/month,2015-11-22
https://www.mountainproject.com/route/112254751/cowboy-yoga,Cowboy Yoga,5.10d YDS,"Sport, 60 ft (18 m)",776 total · 14/month,2016-10-23
https://www.mountainproject.com/route/113815435/bolt-action,Bolt Action,5.9 YDS,"Sport, 60 ft (18 m)",598 total · 14/month,2017-11-12
https://www.mountainproject.com/route/115183001/my-first-rodeo,My First Rodeo,5.10b YDS,"Sport, 55 ft (17 m)",744 total · 24/month,2018-09-09
https://www.mountainproject.com/route/116114789/facecoach,Facecoach,5.8 YDS,"Sport, 40 ft (12 m)",521 total · 18/month,2018-11-19
https://www.mountainproject.com/route/114010641/the-finish,The Finish,5.7 YDS,"Trad, 40 ft (12 m)",669 total · 17/month,2018-01-14
https://www.mountainproject.com/route/114010699/gumby,Gumby,5.8 YDS,"Trad, 35 ft (11 m)",570 total · 14/month,2018-01-14
https://www.mountainproject.com/route/114027519/mr-finny,Mr. Finny,5.10- YDS,"TR, 30 ft (9 m)",574 total · 15/month,2018-01-20
https://www.mountainproject.com/route/114027532/irrigation,Irrigation,5.8- YDS,"Trad, 30 ft (9 m)",556 total · 14/month,2018-01-20
https://www.mountainproject.com/route/113945746/squeeze-play,Squeeze Play,5.5 YDS,"TR, 30 ft (9 m)",736 total · 18/month,2017-12-20
https://www.mountainproject.com/route/113952244/avoidance,Avoidance,5.7 YDS,"TR, 30 ft (9 m)",584 total · 15/month,2017-12-24
https://www.mountainproject.com/route/113952260/lay-out,Lay Out,5.8+ YDS,"Sport, TR, 30 ft (9 m)",758 total · 19/month,2017-12-24
https://www.mountainproject.com/route/117023708/apprentice,Apprentice,5.6 YDS,"Sport, 35 ft (11 m)",696 total · 30/month,2019-05-26
