Generation,Brand,Size,Color,Lobes,Weight.g,Strength,Lower.mm,Upper.mm,Range.mm,Weight.oz,Lower.in,Upper.in,Range.in
Current,Black Diamond,Camalot C3 000,gray,3,55,4,7.8,12.9,5.1,1.94,0.31,0.51,0.2
Current,Black Diamond,Camalot C3 00,purple,3,57,6,9,13.7,4.7,2.01,0.35,0.54,0.19
Current,Black Diamond,Camalot C3 0,green,3,59,7,10.7,15.8,5.1,2.08,0.42,0.62,0.2
Current,Black Diamond,Camalot C3 1,red,3,62,10,12,18.8,6.8,2.19,0.47,0.74,0.27
Current,Black Diamond,Camalot C3 2,yellow,3,66,10,14.2,22.6,8.4,2.33,0.56,0.89,0.33
Current,Black Diamond,X4 0.1,red,4,51,5,8.4,13.8,5.4,1.8,0.33,0.54,0.21
Current,Black Diamond,X4 0.2,yellow,4,54,6,9.9,16.5,6.6,1.9,0.39,0.65,0.26
Current,Black Diamond,X4 0.3,blue,4,75,8,12.4,21.2,8.8,2.65,0.49,0.83,0.35
Current,Black Diamond,X4 0.4,gray,4,82,10,15.5,26.6,11.1,2.89,0.61,1.05,0.44
Current,Black Diamond,X4 0.5,purple,4,91,10,19.8,33.7,13.9,3.21,0.78,1.33,0.55
Current,Black Diamond,X4 0.75,green,4,112,10,24,41.2,17.2,3.95,0.94,1.62,0.68
Current,Black Diamond,Camalot 0.3,blue,4,75,8,13.8,23.4,9.6,2.65,0.54,0.92,0.38
Current,Black Diamond,Camalot 0.4,gray,4,83,10,15.5,26.7,11.2,2.93,0.61,1.05,0.44
Current,Black Diamond,Camalot 0.5,purple,4,99,12,19.6,33.5,13.9,3.49,0.77,1.32,0.55
Current,Black Diamond,Camalot 0.75,green,4,119,14,23.9,41.2,17.3,4.2,0.94,1.62,0.68
Current,Black Diamond,Camalot 1,red,4,136,14,30.2,52.1,21.9,4.8,1.19,2.05,0.86
Current,Black Diamond,Camalot 2,yellow,4,155,14,37.2,64.9,27.7,5.47,1.46,2.56,1.09
Current,Black Diamond,Camalot 3,blue,4,201,14,50.7,87.9,37.2,7.09,2,3.46,1.46
Current,Black Diamond,Camalot 4,gray,4,289,14,66,114.7,48.7,10.19,2.6,4.52,1.92
Current,Black Diamond,Camalot 5,purple,4,380,14,85.4,148.5,63.1,13.4,3.36,5.85,2.48
Current,Black Diamond,Camalot 6,green,4,557,14,114.1,195,80.9,19.65,4.49,7.68,3.19
Current,Black Diamond,UL Camalot .4,gray,4,61,8,15.5,26.7,11.2,2.15,0.61,1.05,0.44
Current,Black Diamond,UL Camalot .5,purple,4,74,10,19.6,33.5,13.9,2.61,0.77,1.32,0.55
Current,Black Diamond,UL Camalot .75,green,4,89,12,23.9,41.2,17.3,3.14,0.94,1.62,0.68
Current,Black Diamond,UL Camalot 1,red,4,101,12,30.2,52.1,21.9,3.56,1.19,2.05,0.86
Current,Black Diamond,UL Camalot 2,yellow,4,126,12,37.2,64.9,27.7,4.44,1.46,2.56,1.09
Current,Black Diamond,UL Camalot 3,blue,4,167,12,50.7,87.9,37.2,5.89,2,3.46,1.46
Current,Black Diamond,UL Camalot 4,gray,4,225,12,66,114.7,48.7,7.94,2.6,4.52,1.92
Old,Black Diamond,SS Micro Cam 0.1,red,4,62,7,8.64,13.71,5.07,2.19,0.34,0.54,0.2
Old,Black Diamond,SS Micro Cam 0.2,yellow,4,68,8,10.41,16.51,6.1,2.4,0.41,0.65,0.24
Old,Black Diamond,SS Micro Cam 0.3,blue,4,74,10,12.7,21.84,9.14,2.61,0.5,0.86,0.36
Old,Black Diamond,SS Micro Cam 0.4,gray,4,96,10,15.5,26.67,11.17,3.39,0.61,1.05,0.44
Old,Black Diamond,SS Micro Cam 0.5,purple,4,113,12,20.32,33,12.68,3.99,0.8,1.3,0.5
Old,Black Diamond,SS Micro Cam 0.75,green,4,136,16,24.38,40.13,15.75,4.8,0.96,1.58,0.62
Old,Black Diamond,SS Camalot 1,red,4,162,16,30.48,50.8,20.32,5.71,1.2,2,0.8
Old,Black Diamond,SS Camalot 2,yellow,4,190,16,38.1,63.5,25.4,6.7,1.5,2.5,1
Old,Black Diamond,SS Camalot 3,blue,4,238,16,50.8,86.36,35.56,8.4,2,3.4,1.4
Old,Black Diamond,SS Camalot 3.5,gray,4,312,16,60.96,104.14,43.18,11.01,2.4,4.1,1.7
Old,Black Diamond,SS Camalot 4,purple,4,343,16,73.66,124.46,50.8,12.1,2.9,4.9,2
Old,Black Diamond,SS Camalot 4.5,red,4,437,12,88.9,147.32,58.42,15.41,3.5,5.8,2.3
Old,Black Diamond,SS Camalot 5,green,4,544,12,106.8,177.8,71,19.19,4.2,7,2.8
Current,Camp,Ball Nut 1,Blue,N/A,31,8,3,6,3,1.09,0.12,0.24,0.12
Current,Camp,Ball Nut 2,Red,N/A,39,8,4.5,9,4.5,1.38,0.18,0.35,0.18
Current,Camp,Ball Nut 3,yellow,N/A,47,8,6,12,6,1.66,0.24,0.47,0.24
Current,Camp,Ball Nut 4,green,N/A,57,8,8,14,6,2.01,0.31,0.55,0.24
Current,Camp,Ball Nut 5,purple,N/A,72,8,10.5,18,7.5,2.54,0.41,0.71,0.3
Old,CCH,Alien 1/3,black,4,68,,9,12,3,2.4,0.35,0.47,0.12
Old,CCH,Alien 3/8,blue,4,71,,11,14,3,2.5,0.43,0.55,0.12
Old,CCH,Alien 1/2,green,4,74,,14,18,4,2.61,0.55,0.71,0.16
Old,CCH,Alien 3/4,yellow,4,85,,17,23,6,3,0.67,0.91,0.24
Old,CCH,Alien 1,red,4,88,,21,28,7,3.1,0.83,1.1,0.28
Old,CCH,Alien 1.5,orange,4,113,,28,36,8,3.99,1.1,1.42,0.31
Old,CCH,Alien 2,purple,4,125,,33,43,10,4.41,1.3,1.69,0.39
Old,CCH,Alien 2.5,gray,4,142,,38,51,13,5.01,1.5,2.01,0.51
Old,Climb X,X-Tech 1,red,4,87,6,10,17,7,3.07,0.39,0.67,0.28
Old,Climb X,X-Tech 2,orange,4,90,8,13,19,6,3.17,0.51,0.75,0.24
Old,Climb X,X-Tech 3,yellow,4,94,8,15,23,8,3.32,0.59,0.91,0.31
Old,Climb X,X-Tech 4,blue,4,100,8,19,29,10,3.53,0.75,1.14,0.39
Old,Climb X,X-Tech 5,dark blue,4,111,9,21,35,14,3.92,0.83,1.38,0.55
Old,Climb X,X-Tech 6,red,4,132,9,26,44,18,4.66,1.02,1.73,0.71
Old,Climb X,X-Tech 7,orange,4,147,9,30,54,24,5.19,1.18,2.13,0.94
Old,Climb X,X-Tech 8,yellow,4,163,9,39,66,27,5.75,1.54,2.6,1.06
Old,Climb X,X-Tech 9,blue,4,202,10,49,82,33,7.13,1.93,3.23,1.3
Old,Climb X,X-Tech 10,black,4,247,11,57,100,43,8.71,2.24,3.94,1.69
Current,DMM,Dragon 00,blue,4,75,9,13,21,8,2.65,0.51,0.83,0.31
Current,DMM,Dragon 0,silver,4,85,12,16,25,9,3,0.63,0.98,0.35
Current,DMM,Dragon 1,purple,4,97,14,20,33,13,3.42,0.79,1.3,0.51
Current,DMM,Dragon 2,green,4,106,14,24,41,17,3.74,0.94,1.61,0.67
Current,DMM,Dragon 3,red,4,119,14,29,50,21,4.2,1.14,1.97,0.83
Current,DMM,Dragon 4,gold,4,148,14,38,64,26,5.22,1.5,2.52,1.02
Current,DMM,Dragon 5,blue,4,195,14,50,85,35,6.88,1.97,3.35,1.38
Current,DMM,Dragon 6,silver,4,276,14,68,114,46,9.74,2.68,4.49,1.81
Current,DMM,3CU 0,blue,3,74,"42,718.00",13,19,6,2.61,0.51,0.75,0.24
Current,DMM,3CU 0.5,red,3,80,"42,718.00",17,24,7,2.82,0.67,0.94,0.28
Current,DMM,3CU 1,gold,3,84,"42,718.00",19,29,10,2.96,0.75,1.14,0.39
Current,DMM,3CU 1.25,purple,3,87,"42,718.00",21,33,12,3.07,0.83,1.3,0.47
Current,DMM,3CU 1.5,silver,3,88,"42,718.00",23,35,12,3.1,0.91,1.38,0.47
Current,DMM,3CU 1.75,green,3,90,"42,718.00",25,41,16,3.17,0.98,1.61,0.63
Current,DMM,4CU 0,blue,4,75,"42,718.00",13,19,6,2.65,0.51,0.75,0.24
Current,DMM,4CU 0.5,red,4,80,"42,718.00",17,24,7,2.82,0.67,0.94,0.28
Current,DMM,4CU 1,gold,4,93,"42,718.00",19,29,10,3.28,0.75,1.14,0.39
Current,DMM,4CU 1.25,purple,4,96,"42,718.00",21,33,12,3.39,0.83,1.3,0.47
Current,DMM,4CU 1.5,silver,4,97,"42,718.00",23,35,12,3.42,0.91,1.38,0.47
Current,DMM,4CU 1.75,green,4,99,"42,718.00",25,41,16,3.49,0.98,1.61,0.63
Current,DMM,4CU 2,red,4,110,"42,718.00",29,44,15,3.88,1.14,1.73,0.59
Current,DMM,4CU 2.5,gold,4,123,"42,718.00",33,55,22,4.34,1.3,2.17,0.87
Current,DMM,4CU 3,purple,4,151,"42,718.00",43,66,23,5.33,1.69,2.6,0.91
Current,DMM,4CU 3.5,blue,4,185,"42,718.00",51,82,31,6.53,2.01,3.23,1.22
Current,DMM,4CU 4,silver,4,224,"42,718.00",64,100,36,7.9,2.52,3.94,1.42
Current,DMM,Demon 0,blue,4,84,14,13,19,6,2.96,0.51,0.75,0.24
Current,DMM,Demon 0.5,red,4,90,14,17,24,7,3.17,0.67,0.94,0.28
Current,DMM,Demon 1,gold,4,97,14,19,29,10,3.42,0.75,1.14,0.39
Current,DMM,Demon 1.5,silver,4,101,14,23,35,12,3.56,0.91,1.38,0.47
Current,DMM,Demon 2,red,4,113,14,29,44,15,3.99,1.14,1.73,0.59
Current,DMM,Demon 2.5,gold,4,127,14,33,55,22,4.48,1.3,2.17,0.87
Current,DMM,Demon 3,purple,4,154,14,43,66,23,5.43,1.69,2.6,0.91
Current,DMM,Demon 3.5,blue,4,181,14,51,82,31,6.38,2.01,3.23,1.22
Current,DMM,Demon 4,silver,4,221,14,64,100,36,7.8,2.52,3.94,1.42
Old,DMM,Old 3CU .5,purple,3,74,,14,17,3,2.61,0.55,0.67,0.12
Old,DMM,Old 3CU .75,green,3,79,,18,21,3,2.79,0.71,0.83,0.12
Old,DMM,Old 3CU 1,blue,3,88,,20,24,4,3.1,0.79,0.94,0.16
Old,DMM,Old 3CU 1.25,gray,3,88,,22,28,6,3.1,0.87,1.1,0.24
Old,DMM,Old 3CU 1.5,yellow,3,88,,24,30,6,3.1,0.94,1.18,0.24
Old,DMM,Old 3CU 1.75,red,3,94,,25,36,11,3.32,0.98,1.42,0.43
Old,DMM,Old 4CU .5,purple,4,77,,14,17,3,2.72,0.55,0.67,0.12
Old,DMM,Old 4CU .75,green,4,82,,18,21,3,2.89,0.71,0.83,0.12
Old,DMM,Old 4CU 1,blue,4,94,,20,24,4,3.32,0.79,0.94,0.16
Old,DMM,Old 4CU 1.25,gray,4,96,,22,28,6,3.39,0.87,1.1,0.24
Old,DMM,Old 4CU 1.5,yellow,4,99,,24,30,6,3.49,0.94,1.18,0.24
Old,DMM,Old 4CU 1.75,red,4,102,,25,36,11,3.6,0.98,1.42,0.43
Old,DMM,Old 4CU 2,purple,4,111,,30,38,8,3.92,1.18,1.5,0.31
Old,DMM,Old 4CU 2.5,green,4,125,,36,46,10,4.41,1.42,1.81,0.39
Old,DMM,Old 4CU 3,blue,4,139,,46,56,10,4.9,1.81,2.2,0.39
Old,DMM,Old 4CU 3.5,gray,4,159,,53,69,16,5.61,2.09,2.72,0.63
Old,DMM,Old 4CU 4,yellow,4,190,,69,86,17,6.7,2.72,3.39,0.67
Current,Fixe Hardware,Alien LITE 1/3,black,4,46,5,8,14,6,1.62,0.31,0.55,0.24
Current,Fixe Hardware,Alien LITE 3/8,blue,4,48,6,10,17,7,1.69,0.39,0.67,0.28
Current,Fixe Hardware,Alien LITE 1/2,green,4,52,7,13,22,9,1.83,0.51,0.87,0.35
Current,Fixe Hardware,Alien LITE 3/4,yellow,4,58,10,15,25,10,2.05,0.59,0.98,0.39
Current,Fixe Hardware,Alien LITE 7/8,grey,4,59,10,17,30,13,2.08,0.67,1.18,0.51
Current,Fixe Hardware,Alien LITE 1,red,4,61,10,20,33,13,2.15,0.79,1.3,0.51
Current,Kouba,Flex .25,black,4,60,7,12,16.5,4.5,2.12,0.47,0.65,0.18
Current,Kouba,Flex .5,blue,4,65,9,14,20,6,2.29,0.55,0.79,0.24
Current,Kouba,Flex .72,red,4,68,10,17,24.5,7.5,2.4,0.67,0.96,0.3
Current,Kouba,Flex 1,gray,4,95,12,20,29,9,3.35,0.79,1.14,0.35
Current,Kouba,Flex 2,yellow,4,104,12,27,41,14,3.67,1.06,1.61,0.55
Current,Kouba,Flex 3,blue,4,139,14,35,53,18,4.9,1.38,2.09,0.71
Current,Kouba,Flex 4,orange,4,164,14,48,67,19,5.78,1.89,2.64,0.75
Current,Kouba,Flex 5,black,4,205,14,61,91,30,7.23,2.4,3.58,1.18
Current,Kouba,Manta .25,yellow,4,57,6,12,16.5,4.5,2.01,0.47,0.65,0.18
Current,Kouba,Manta .5,blue,4,63,8,14,20,6,2.22,0.55,0.79,0.24
Current,Kouba,Manta .75,green,4,66,10,17,24.5,7.5,2.33,0.67,0.96,0.3
Current,Kouba,Manta 1,gray,4,99,14,20,30,10,3.49,0.79,1.18,0.39
Current,Kouba,Manta 2,yellow,4,108,14,25,40,15,3.81,0.98,1.57,0.59
