cumulative.distance,name
0.0,New Mexico
361.407034401,Texas
821.391085801,Louisiana
1138.64815402,Alabama
1593.52785932,Florida
1914.03197923,Georgia
2067.75193071,South Carolina
2247.87870872,North Carolina
2364.91647535,Virginia
2491.77116334,West Virginia
2699.85471797,Maryland
2760.53263415,Delaware
2859.85017283,New Jersey
3083.74195721,New York
3203.14014902,Vermont
3364.15942313,Maine
3541.28970828,New Hampshire
3596.44127306,Massachusetts
3653.73599843,Rhode Island
3737.17894859,Connecticut
3952.31984142,Pennsylvania
4256.636342,Ohio
4448.95163318,Kentucky
4654.11711948,Tennessee
4925.61822035,Mississippi
5166.63322328,Arkansas
5668.48269225,Indiana
5868.22571217,Illinois
6093.83191102,Missouri
6450.61642638,Oklahoma
6737.24575931,Kansas
6924.08119335,Nebraska
7318.0516212,Wyoming
7620.75398419,Montana
7908.72700198,Idaho
8293.64508602,Washington
8566.38254952,Oregon
9054.83775126,California
9270.28071776,Nevada
9558.87622735,Utah
10519.7939015,Iowa
10775.2087216,Wisconsin
10937.9953604,Michigan
11409.0980484,Minnesota
11712.0830393,North Dakota
11965.1110583,South Dakota
12395.4229666,Colorado
12875.4821456,Arizona
13227.0930432,New Mexico
