,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
Alabama,0.0,346.3384570909633,1403.656645914694,1870.6106199039048,1167.017105518703,994.9240026131386,784.2329913226453,454.87970529849025,234.21896741663846,742.2489215029144,1706.6516808861238,589.8672384424644,572.2624623761529,797.3964223023221,408.73890911244365,317.25706821904976,1098.664950824013,739.5789778320312,1292.5184688271843,830.4365984018044,1076.3443686808716,478.7891725346163,146.04747208404498,1594.3770346503914,510.49565405643307,1286.044684936851,956.3843014625453,1122.3614025981192,877.517260331859,1059.414833192716,1713.5775921327477,1024.8971235772626,601.0532627892362,615.5033082825806,1981.280487475978,814.6573776247676,1063.408208047543,348.92749532784745,1068.3677283553614,221.27669581034556,761.9941843812067,1436.3091128152064,585.8164712859162,1144.0495100286907,2062.484203151746,797.4329184834094,565.051781235039,1335.4808795053007
Arkansas,346.3384570909633,0.0,1098.7181712757401,1544.193300094297,823.1405033381407,1106.0561140606976,935.2418387296527,799.7225502852943,555.101883098118,465.61419574186357,1360.313293241071,397.4882490937176,501.84946897232066,451.5227433149043,458.2968752484706,273.247328528455,1206.454275791135,878.4566987069275,1365.234622843463,710.3679209808917,809.2643671383811,190.5325185899508,241.01500292711293,1254.0518898613518,723.0137163129637,974.9351366363449,616.2665657486432,1214.865920995536,1010.7667371181058,747.6083530053801,1378.022776283613,1094.2459197810117,606.0140785143194,298.3098415751434,1635.5186112520896,896.1376361401556,1185.7035782780822,615.5739278218774,741.8077464521119,297.3365589101191,515.8273713899483,1096.6778658502544,750.4059627295461,1205.3733496897428,1717.5166956305834,613.9721254672978,671.6193099579391,989.8737345219506
Arizona,1403.656645914694,1098.7181712757401,0.0,505.8394646504161,480.05917901940904,2124.9939285544956,1995.71754086997,1805.1425634615111,1634.9008741529926,1117.9840674595132,718.2637777655339,1273.7805914195587,1468.1216563358903,779.7123769278386,1520.9723765271842,1119.772160699107,2214.356449526588,1935.5973433747229,2322.0527849574296,1532.0292154560038,1225.966895698176,1110.0707054719735,1259.9891559070725,886.145823369664,1817.219076699367,1069.40278694395,798.14304425902,2206.998363132488,2054.553456992202,351.61089758093044,441.9799915836869,2074.398457555303,1607.345249873302,800.7808866565782,842.9630721939427,1910.552224167833,2208.379251982514,1713.1519290719714,909.9434203147814,1394.229924659187,665.0871311954712,363.53324299143964,1828.9908817067897,2164.5169900387846,1069.983098927902,1370.5486475392258,1729.7235332758962,655.6449131652892
California,1870.6106199039048,1544.193300094297,505.8394646504161,0.0,765.9015411269116,2479.263584891292,2381.7170719658675,2290.7576857544914,2095.7213934184592,1447.1404324839891,559.9363345854097,1636.0125792558783,1835.7555462712728,1151.8382232312113,1926.026302283725,1605.2188902301114,2558.647467593898,2321.057234812552,2632.658831932343,1839.67802737125,1442.2144186929497,1514.9743625010547,1731.3565314893997,838.0824750537137,2239.7934996581566,1197.6888620138222,1094.980333909342,2542.2636404540317,2427.0602056985635,815.9526652371854,215.44296650570277,2408.7094742476766,1978.0478632234397,1255.521698674802,488.4552017390471,2270.9797941133834,2562.0348584863737,2156.94537567514,1139.3436388385437,1829.3297118431997,1161.2090685045205,486.45414512542885,2233.9742781566642,2483.3929929755295,760.3513831010081,1678.3161990905537,2123.1038060027454,775.7793562880939
Colorado,1167.017105518703,823.1405033381407,480.05917901940904,765.9015411269116,0.0,1715.6393935012413,1616.1283910198524,1613.628808728275,1376.5169365470974,684.3766572220568,557.4062672556702,870.1111308705154,1069.8541344640992,392.9098977054042,1166.060438352159,957.519405893419,1797.3590589387034,1555.4907059831335,1883.2779793258044,1087.4415696499336,747.2080488581232,760.5661528982008,1041.532822081206,556.0795867925872,1484.8395391373817,601.9810007098852,337.29688193305725,1783.42114610287,1661.2812094185144,318.3481563456245,573.1367952107604,1649.7258217025465,1212.1464811517449,571.7615798243745,817.3339328583413,1506.0290974436402,1798.6927787854786,1417.6144719642043,430.3119083291856,1088.2438420280796,618.0314115261558,284.54823804359603,1472.1160203414324,1730.031279257743,936.8582779420902,924.704328812637,1358.9597289659237,255.6502455165997
Connecticut,994.9240026131386,1106.0561140606976,2124.9939285544956,2479.263584891292,1715.6393935012413,0.0,226.128017852759,1072.7616859877353,847.3968310306451,1032.1335420588935,2100.335907819374,852.5400020216347,656.9207545035005,1348.4046650563803,649.2267269258921,1275.1638862341479,103.84826349666568,257.54693334137517,311.5253580389732,660.7674632398366,1125.9846768276789,1026.5380773670158,1101.9336706937659,1867.3039286581436,514.8124358683293,1428.7144434500356,1384.5225551549627,134.39523088104045,127.0223885771522,1784.5844297769488,2276.4302587824395,130.55134254449868,519.4552266708146,1376.2385734050083,2387.957882327021,215.14089282991682,83.44295015221917,694.0703823756943,1366.9359357339822,841.2948101249741,1620.041519312893,1992.9624194502237,413.7984796158283,205.64993421039608,2347.439814802776,812.1708288625512,441.7797576611376,1742.183681869291
Delaware,784.2329913226453,935.2418387296527,1995.71754086997,2381.7170719658675,1616.1283910198524,226.128017852759,0.0,848.4641807306357,623.7943191904575,947.424458200486,2045.8748433546436,747.1308262642237,548.1384947897016,1233.0787623229373,480.210498167829,1077.3756103290793,324.953534661175,60.67791617755553,537.6411053956094,640.5951815623629,1108.899072311816,885.7341627221916,900.6078470466423,1834.3927483051166,290.1111100200544,1408.8672829305424,1297.3616604607582,360.51397021665923,99.31753868876703,1648.157741962996,2186.569328205276,310.45181065024747,406.828760686605,1220.2508440576491,2336.175775256795,181.1726402519602,282.38320757431273,470.10818791332866,1307.608889917436,652.422703936645,1450.7184110334722,1899.012249642943,198.57774558601415,418.479365321884,2322.9775962934436,765.9959288016869,266.9764635329994,1675.0314724605987
Florida,454.87970529849025,799.7225502852943,1805.1425634615111,2290.7576857544914,1613.628808728275,1072.7616859877353,848.4641807306357,0.0,320.504119913794,1178.137639903746,2158.7889976906795,1000.4297831624941,918.2887293235548,1251.244967709932,719.137328836113,686.1284645723134,1165.397006651303,833.1030259243805,1383.077238525352,1170.1892286227708,1497.393756766752,928.2384834883322,572.1243168503896,2048.923187291365,576.71079608507,1728.5264814546192,1411.130569189395,1206.5746817615932,946.1449769684939,1474.8246268012758,2146.394431315651,1152.5782725669278,882.5525153584605,1049.0717249898485,2430.3278836816035,964.930421745422,1114.9392956797071,425.64461675821764,1519.196790325398,617.750318885959,1141.7895157684195,1875.895883662497,693.2776243533841,1265.6876112810442,2517.039132972169,1182.9522093811283,755.924847008396,1789.5907027543253
Georgia,234.21896741663846,555.101883098118,1634.9008741529926,2095.7213934184592,1376.5169365470974,847.3968310306451,623.7943191904575,320.504119913794,0.0,874.353565860941,1903.5141169398287,686.8777398577045,597.8743872149264,994.4650571149818,399.22573820987174,547.6048160412594,948.4063112603731,591.247664845944,1156.610269686996,851.1236180935329,1183.4241862407493,644.5375256669643,380.2664385489929,1769.3498213151204,333.84538606543583,1425.9378443147084,1137.6819160617601,980.5998022951122,722.4386651442015,1288.4858328501284,1932.8792054643516,902.7027334087571,569.520188048114,840.731599810079,2183.7718308113376,699.3941708174337,905.6944512604556,153.71995147828815,1229.4086653597894,313.4169632545611,996.2131387288996,1651.7178112557538,436.442802681941,1021.029986031374,2247.9528989089335,863.2058735581893,465.0182295419245,1526.7734974154087
Iowa,742.2489215029144,465.61419574186357,1117.9840674595132,1447.1404324839891,684.3766572220568,1032.1335420588935,947.424458200486,1178.137639903746,874.353565860941,0.0,1104.2417399224014,210.90320530238688,401.0186205228385,345.9178859437094,545.423738450995,735.0962304753705,1112.984343313691,887.5270192580012,1205.4028415431685,414.60243278655145,344.0888837705932,278.2582263177395,687.5757892126871,919.6138916956353,867.4974656139049,551.654648270347,352.9139888626286,1099.497592310388,983.7131320085676,802.5887168385166,1245.4598982957878,965.8435885888277,540.692286816664,520.9224696847308,1394.6013791438202,824.704922107979,1114.9702997518043,854.945061592587,373.9982051731392,562.2946940085992,779.6379881137943,960.9176741000186,827.6156092619524,1049.4813142950404,1409.2802734342013,255.41482019335697,704.9751758344557,728.9777514661531
